filename;label1;label2;label3;label4;label5;label6;label7;label8;label9;label10;label12;label23;label34;label45;label56;label67;label78;label89;label910;label1011;label1012
synthetic_image_rating_0.5.png;0.5;4;5;5;5;5;5;5;4;5;5;4;5;5;5;4;2;4;4;2;4
synthetic_image_rating_1.png;1;5;4;5;5;4;5;5;5;4;5;4;4;5;4;4;4;4;5;4;4
synthetic_image_rating_10.5.png;1.5;4;5;4;3;4;4;5;5;4;3;4;4;4;3;4;5;5;2;4;4
synthetic_image_rating_2.png;2;3;3;3;3;3;3;3;4;2;3;3;3;4;3;3;2;1;3;3;3
synthetic_image_rating_20.5.png;2.5;3;2;3;1;1;1;1;1;2;1;2;3;3;2;2;3;3;1;2;2
synthetic_image_rating_3.png;3;1;1;1;1;1;1;1;1;1;2;2;2;1;3;3;3;3;2;2;3
synthetic_image_rating_30.5.png;3.5;2;2;2;1;1;1;1;1;1;1;3;3;3;2;2;3;2;3;1;2
synthetic_image_rating_4.png;4;2;3;3;3;4;4;2;3;2;3;3;3;3;2;3;4;5;4;4;3
synthetic_image_rating_40.5.png;4.5;4;4;4;3;4;3;3;4;3;4;4;4;5;5;5;4;3;4;4;4
synthetic_image_rating_5.png;5;4;4;4;5;5;5;5;5;4;4;4;5;3;3;5;3;3;3;4;5
synthetic_image_rating_50.5.png;5.5;5;5;5;5;5;5;5;4;4;5;5;4;5;5;5;3;5;2;5;5
